word,polarity
경솔하게 행동하여,-1
경솔하고,-1
경솔하고 방정맞게,-2
경솔하다,-1
경솔한,-1
경솔한 모양,-1
경이로운,2
경이롭다,2
경치 좋은,2
경치가 뛰어나거나,2
경치가 맑고,2
경치가 아름다움을,2
경치가 아름답다,2
경치가 좋거나,2
경치도 좋음,2
경치를 즐기는,2
경쾌하다,2
경험이 많고,1
경험이 적거나,-1
경황이 없어,-1
계급을 올림,2
계급이 오름,2
계속 게워,-1
계속 공허하다,-1
계속 공허한,-1
계속 까부는,-1
계속 까불다,-1
계속 놀리다,-1
계속 다투다,-1
계속 떠들어,-1
계속 밉살스럽게,-1
계속 부정하다,-2
계속 불평을,-2
계속 서운하다,-1
계속 서운한,-1
계속 성을,-1
계속 아첨하는,-1
계속 어지럽고,-1
계속 쩔쩔매거나,-1
계속 토할,-1
계속 헤프게,-1
계속 흥겹게,2
고결 함,2
고결한 풍채를,2
고귀한,2
고귀한 사람,2
고급,2
고급스럽다,2
고급지다,2
고까워하는,-1
고까워하는 데가,-1
고까워하는 태도가,-1
고까워하는 태도를,-1
고난,-2
고단하다,-2
고단하여,-2
고달프다,-2
고도화,-2
고도화되다,-2
고되다,-2
고르고,2
고르고 반듯하게,2
고르고 야무지다,2
고르다,2
고르지 못하거나,-1
고르지 못한,-1
고르지 아니하게,-1
고르지 아니하고,-1
고르지 않고,-1
고름,-1
고름이 나오는,-1
고름이 생기는,-1
고름이 생기다,-1
고름집,-1
고리게,-1
고마운,2
고마운 마음,2
고마운 마음이,2
고마움,2
고마움을,2
고마움을 깊이,2
고마움을 나타내거나,2
고마움을 나타내는,2
고마워하다,2
고맙게,2
고맙게 베풀어,2
고맙게 여기는,2
고맙게 여기다,2
고맙게 여김,2
고맙다,2
고백,2
고부라지거나,0
고부라지거나 비틀어지며,0
고분고분하게,2
고분고분하고,2
고분고분하고 온순하게,2
고분고분하고 온순하다,2
고분고분하다,2
고분고분하지 못하고,-1
고비를,-1
고상하고,1
고상하다,2
고상한,2
고상한 기질과,2
고상한 남자,1
고상한 이야기,1
고상한 인품을,2
고상한 풍채,2
고생스러운,-2
고생을,-1
고생을 격다,-1
고생을 하다,-1
고생이나,-1
고생하거나,-1
고생하거나 두려워하여,-2
고생하다,-1
고성능,2
고소 공포증,-1
고약하게,-2
고약하다,-2
고약함,-2
고약해서,-2
고열,-1
고열 따위로,-1
고요하게,1
고요하게 함,1
고요하고,1
